"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
3.36805231312361e-06,66,352,2.22971165279429,"NcRNA processing "," http://amigo.geneontology.org/amigo/term/GO:0034470"," Nsun5  Nhp2  Rtcb  Stat3  Emg1  Gtpbp3  Rps25  Trnt1  Tsr3  Mtrex  Rrp7a  Dalrd3  Nop9  Helb  Znhit3  Elac2  Fars2  Dimt1  Rtraf  Mettl3  Bop1  Dgcr8  Bysl  Pdcd11  Tsr2  Mterf4  Exosc9  Exosc8  Adar  Toe1  Ints11  Ddx54  Ptcd1  Ercc2  Eri2  Dkc1  Mak16  Pus3  Ybey  Wdr3  Trmt13  Ints6  Ago2  Tfb1m  Tsr1  Trmt112  Tbl3  Ints8  Wdr55  Trpt1  Ctu2  Heatr1  Pusl1  Mettl5  Trmt1l  Ddx17  Zbtb8os  Ddx49  Rpl5  Pop5  Nsa2  Exosc5  Krr1  Rps28  Ssb  Tarbp1"
3.66368088498192e-05,116,823,1.67612184187372,"RNA processing "," http://amigo.geneontology.org/amigo/term/GO:0006396"," Nsun5  Nhp2  Rtcb  Stat3  Emg1  Wdr83  Ddx39a  Ptbp1  Gtpbp3  Zmat5  Rps25  Trnt1  Nol3  Tsr3  Mtrex  Rrp7a  Ncor1  Dalrd3  Nop9  Xab2  Snrpf  Hnrnph3  Helb  Znhit3  Elac2  Zc3h14  Snw1  Fars2  Dimt1  Rtraf  Mettl3  Bop1  Dgcr8  Trmt2a  Ncbp2  Son  Scaf4  Bysl  Thoc1  Pdcd11  Tsr2  Lmntd2  Mterf4  Cstf3  Rprd1b  Fxr1  Exosc9  Adad1  Exosc8  Adar  Ncbp1  Smu1  Psip1  Ppie  Toe1  Fastk  Ints11  Fip1l1  Tfip11  Ddx54  Ptcd1  Ercc2  Eri2  Cstf2  Dkc1  Mak16  Pus3  Clk3  Ybey  Wdr3  Trmt13  Ccar2  Cpsf1  Cpsf7  Gcfc2  Ints6  Raver2  Prpf39  Ago2  Kdm1a  Tfb1m  Tsr1  Phrf1  Bud31  Trmt112  Srrm2  Hnrnpu  Spout1  Tbl3  Ints8  Thoc6  Tardbp  Cir1  Wdr55  Pde12  Trpt1  Ctu2  Heatr1  Pusl1  Mettl5  Cherp  Trmt1l  Ddx17  Zbtb8os  Ddx49  Rpl5  Prmt7  Pop5  Nsa2  Exosc5  Srpk2  Krr1  Rps28  Ssb  Esrp2  Tarbp1"
3.66368088498192e-05,72,435,1.96829718315634,"NcRNA metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0034660"," Nsun5  Nhp2  Rtcb  Stat3  Emg1  Gtpbp3  Rps25  Trnt1  Tsr3  Mtrex  Rrp7a  Dalrd3  Nop9  Helb  Znhit3  Elac2  Fars2  Dimt1  Rtraf  Mettl3  Bop1  Dgcr8  Bysl  Pdcd11  Tsr2  Farsb  Mterf4  Iars2  Exosc9  Exosc8  Adar  Toe1  Yars  Ints11  Ddx54  Ptcd1  Ercc2  Eri2  Dkc1  Mak16  Pus3  Ybey  Wdr3  Trmt13  Ints6  Ago2  Tfb1m  Tsr1  Trmt112  Mars1  Tbl3  Ints8  Tdrkh  Wdr55  Trpt1  Ctu2  Heatr1  Pusl1  Mettl5  Trmt1l  Ddx17  Cars2  Zbtb8os  Ddx49  Rpl5  Pop5  Nsa2  Exosc5  Krr1  Rps28  Ssb  Tarbp1"
3.66368088498192e-05,53,280,2.25094700186852,"Ribosome biogenesis "," http://amigo.geneontology.org/amigo/term/GO:0042254"," Nsun5  Nhp2  Emg1  Rps25  Tsr3  Mtrex  Gtf3a  Rrp7a  Nop9  Helb  Znhit3  Nle1  Dimt1  Bop1  Riox2  Bysl  Pdcd11  Tsr2  Mterf4  Nop56  Exosc9  Exosc8  Gnl2  Ddx54  Malsu1  Ercc2  Eri2  LTO1  Dkc1  Mak16  Ybey  Wdr3  Mpv17l2  Tfb1m  Tsr1  Trmt112  Mybbp1a  Nup88  Tbl3  Wdr55  Mrps7  Heatr1  Mettl5  Ddx17  Ddx49  Rpl23a  Rpl5  Pop5  Nsa2  Exosc5  Krr1  Rps28  Rbis"
6.25854926247418e-05,67,401,1.98690847198294,"Ribonucleoprotein complex biogenesis "," http://amigo.geneontology.org/amigo/term/GO:0022613"," Nsun5  Nhp2  Ruvbl2  Emg1  Rps25  Nol3  Tsr3  Mtrex  Gtf3a  Rrp7a  Nop9  Xab2  Snrpf  Helb  Znhit3  Nle1  Dimt1  Bop1  Riox2  Bysl  Pdcd11  Tsr2  Mterf4  Eif2d  Eif3j1  Nop56  Exosc9  Exosc8  Adar  Ncbp1  Psip1  Gnl2  Ddx54  Malsu1  Ercc2  Eri2  LTO1  Dkc1  Mak16  Ybey  Wdr3  Cpsf7  Gcfc2  Mpv17l2  Ago2  Tfb1m  Tsr1  Trmt112  Mybbp1a  Nup88  Tbl3  Wdr55  Mrps7  Heatr1  Mettl5  Ddx17  Ddx49  Rpl23a  Rpl5  Prmt7  Pop5  Nsa2  Exosc5  Srpk2  Krr1  Rps28  Rbis"
0.000164357295657525,111,806,1.63770384423601,"DNA metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006259"," Nhp2  Ddb2  Stat6  Chaf1a  Ercc1  Dnase2a  Rad23a  Ruvbl2  Fancl  Msh6  Il27ra  Dnase1  Tfpt  Ctnnb1  Tinf2  Apobec3  Pam16  Endog  Actr8  Taok1  Top2b  Chtf18  Psmc3ip  Xab2  Helb  Fzr1  Mrnip  Lig3  Polg2  Recql5  Xrcc3  Dek  Fancc  Cdadc1  Rfc4  Donson  Rfc2  Thoc1  Rad9a  Mus81  Kat5  Mms19  Nabp2  Cct8  Rev1  Dclre1c  Orc4  Niban2  Rad51  Actl6a  Il2  Ccne2  Xpa  Vcp  Rad54l  Kmt2e  Rfc5  Mcm7  Recql  Ogg1  Ercc2  Faap24  Eri2  Bccip  Dkc1  Gins2  Smpd3  Wdr48  Fanca  Recql4  Fancd2  Tdg  Parpbp  Supt16  Apex1  Kdm1a  Zcwpw1  Fgf2  Mcrs1  Acd  Kdm1b  Primpol  Iffo1  Rad9b  Eme1  Polg  Fanci  Ciz1  Foxp3  Stub1  Hnrnpu  Dcaf1  Tdrkh  Spidr  Trp53bp1  Alkbh2  Ticrr  Cyren  Iho1  Nsd2  Upf1  Prmt7  Exosc5  Srpk2  Tcp1  Chrac1  Eme2  Rec114  Cntd1  Cers1  Rnf212b"
0.000329811893769346,40,203,2.34321093232898,"RRNA processing "," http://amigo.geneontology.org/amigo/term/GO:0006364"," Nsun5  Nhp2  Emg1  Rps25  Tsr3  Mtrex  Rrp7a  Nop9  Helb  Znhit3  Dimt1  Bop1  Bysl  Pdcd11  Tsr2  Mterf4  Exosc9  Exosc8  Ddx54  Ercc2  Eri2  Dkc1  Mak16  Ybey  Wdr3  Tfb1m  Tsr1  Trmt112  Tbl3  Wdr55  Heatr1  Mettl5  Ddx17  Ddx49  Rpl5  Pop5  Nsa2  Exosc5  Krr1  Rps28"
0.000731295175818983,40,211,2.25436881167195,"RRNA metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0016072"," Nsun5  Nhp2  Emg1  Rps25  Tsr3  Mtrex  Rrp7a  Nop9  Helb  Znhit3  Dimt1  Bop1  Bysl  Pdcd11  Tsr2  Mterf4  Exosc9  Exosc8  Ddx54  Ercc2  Eri2  Dkc1  Mak16  Ybey  Wdr3  Tfb1m  Tsr1  Trmt112  Tbl3  Wdr55  Heatr1  Mettl5  Ddx17  Ddx49  Rpl5  Pop5  Nsa2  Exosc5  Krr1  Rps28"
0.000731295175818983,194,1657,1.39228021932679,"Cellular protein localization "," http://amigo.geneontology.org/amigo/term/GO:0034613"," Oxa1l  Snapin  Glmp  Rac1  Nup214  Braf  Stk11  Tbc1d8  Rnf215  Ruvbl2  Stat3  Bid  Tomm40l  Cd247  Pex1  Tpr  Tmco6  Ctnnb1  Tinf2  Kdelr3  Tbrg1  Evi5l  Tnpo3  Pam16  Glis2  Nol3  Gorasp2  Zdhhc12  Sqstm1  Ncf1  Tenm1  Rab5a  Abi3  Ap4m1  Cep290  Macroh2a2  Timm13  Rack1  Mrnip  Rtn4  Srebf1  Tom1l1  Rffl  Rabep1  Dvl2  Ap4s1  Sav1  Tomm20l  Timm9  Vti1b  Klc1  Vcl  Ap3m1  Arf4  Rb1  Emc9  Twf1  Nubp1  Tomm70a  Ppil2  Tulp2  Prepl  Rhoq  Npc1  Syvn1  Coro1b  Slc1a1  Scyl1  Zdhhc6  Csnk1d  Bbs4  Nabp2  Ddit3  Copg2  Cct8  Zdhhc3  Sec61a2  Vil1  Mterf4  Lypd1  Rassf5  Atp1b1  Scyl3  Lrsam1  Inpp5e  Pmpca  Itga4  Duoxa1  Duoxa2  Map1a  Snx16  Ccdc39  Dnajc19  Gpsm2  Adar  Oaz3  Asph  Ccne2  Xpa  Dnaja1  Vcp  Tesk1  Plk3  Hpca  Dvl1  Kcnip4  Stx18  Nsg1  Snx17  Grpel1  Vps29  Lrwd1  Camk1  Yif1b  Lamtor1  Tub  Cdkl5  Dkc1  Lamp1  Gas6  Rab3a  D230025D16Rik  Vps4a  Srpr  Tmed1  Carm1  Nptn  Zwilch  Atp2c1  Pkd1  Rangrf  Micall1  Szt2  Arhgap44  Zdhhc5  Gpc1  Grip1  Cog7  Hectd1  Lzts2  Rabgap1  Grin3b  Cenpt  Kdm1a  Tbc1d2b  Mcrs1  Acd  Cep250  Iffo1  Atg9b  Pdzk1  Grtp1  Tbc1d17  Tctn1  Pigk  Ciz1  Rab3gap2  Zdhhc2  Hnrnpu  Ppp1r15a  Tasor  Nup88  Ap1g2  Tardbp  Sytl3  Spidr  Tlk1  Sgsm3  Adora1  Golga7b  Crb3  Camsap3  Preb  Tmem88  Sprn  Ccdc66  Ric3  Mmp12  Ezr  Pom121  Slc51b  Paqr3  Tmem150a  Cfl1  Ap2a1  Erbb2  Itgb1bp1  Tmed5  Vps37b  Numa1  Tcp1  Ssb  Ap1ar  Dnlz"
0.00103545747606226,194,1669,1.38226981631186,"Cellular macromolecule localization "," http://amigo.geneontology.org/amigo/term/GO:0070727"," Oxa1l  Snapin  Glmp  Rac1  Nup214  Braf  Stk11  Tbc1d8  Rnf215  Ruvbl2  Stat3  Bid  Tomm40l  Cd247  Pex1  Tpr  Tmco6  Ctnnb1  Tinf2  Kdelr3  Tbrg1  Evi5l  Tnpo3  Pam16  Glis2  Nol3  Gorasp2  Zdhhc12  Sqstm1  Ncf1  Tenm1  Rab5a  Abi3  Ap4m1  Cep290  Macroh2a2  Timm13  Rack1  Mrnip  Rtn4  Srebf1  Tom1l1  Rffl  Rabep1  Dvl2  Ap4s1  Sav1  Tomm20l  Timm9  Vti1b  Klc1  Vcl  Ap3m1  Arf4  Rb1  Emc9  Twf1  Nubp1  Tomm70a  Ppil2  Tulp2  Prepl  Rhoq  Npc1  Syvn1  Coro1b  Slc1a1  Scyl1  Zdhhc6  Csnk1d  Bbs4  Nabp2  Ddit3  Copg2  Cct8  Zdhhc3  Sec61a2  Vil1  Mterf4  Lypd1  Rassf5  Atp1b1  Scyl3  Lrsam1  Inpp5e  Pmpca  Itga4  Duoxa1  Duoxa2  Map1a  Snx16  Ccdc39  Dnajc19  Gpsm2  Adar  Oaz3  Asph  Ccne2  Xpa  Dnaja1  Vcp  Tesk1  Plk3  Hpca  Dvl1  Kcnip4  Stx18  Nsg1  Snx17  Grpel1  Vps29  Lrwd1  Camk1  Yif1b  Lamtor1  Tub  Cdkl5  Dkc1  Lamp1  Gas6  Rab3a  D230025D16Rik  Vps4a  Srpr  Tmed1  Carm1  Nptn  Zwilch  Atp2c1  Pkd1  Rangrf  Micall1  Szt2  Arhgap44  Zdhhc5  Gpc1  Grip1  Cog7  Hectd1  Lzts2  Rabgap1  Grin3b  Cenpt  Kdm1a  Tbc1d2b  Mcrs1  Acd  Cep250  Iffo1  Atg9b  Pdzk1  Grtp1  Tbc1d17  Tctn1  Pigk  Ciz1  Rab3gap2  Zdhhc2  Hnrnpu  Ppp1r15a  Tasor  Nup88  Ap1g2  Tardbp  Sytl3  Spidr  Tlk1  Sgsm3  Adora1  Golga7b  Crb3  Camsap3  Preb  Tmem88  Sprn  Ccdc66  Ric3  Mmp12  Ezr  Pom121  Slc51b  Paqr3  Tmem150a  Cfl1  Ap2a1  Erbb2  Itgb1bp1  Tmed5  Vps37b  Numa1  Tcp1  Ssb  Ap1ar  Dnlz"
